seed,condition,buffer_size,label_coverage,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,mean_doubt,mean_curiosity,mean_egogate
11,embedding_kcenter,40,5,3,11,11,7,8,0,0,0,0,0,0.02735154703259468,0.04327143356204033,1.4271503686904907
11,egogate_diverse,40,5,4,13,10,5,8,0,0,0,0,0,0.03526098281145096,0.0402866005897522,1.7005021572113037
11,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008939654566347599,0.009237213060259819,-1.5894572769070692e-08
12,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
12,random,40,5,6,13,6,7,8,0,0,0,0,0,0.00916792917996645,0.016132120043039322,0.1539493203163147
12,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.008066472597420216,0.002845235401764512,-0.14697109162807465
12,doubt,40,5,3,11,12,9,5,0,0,0,0,0,0.08875174820423126,0.14380288124084473,6.0037126541137695
12,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.08841215819120407,0.14432790875434875,5.999178886413574
12,egogate,40,5,3,11,13,8,5,0,0,0,0,0,0.08867420256137848,0.14421437680721283,6.00824499130249
12,embedding_kcenter,40,5,3,16,7,7,7,0,0,0,0,0,0.017984552308917046,0.009734956547617912,0.40980347990989685
12,egogate_diverse,40,5,5,12,9,8,6,0,0,0,0,0,0.04289896786212921,0.07778185606002808,2.777247667312622
12,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008873999118804932,0.008729321882128716,2.6490953874969136e-09
13,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
13,random,40,5,12,6,9,5,8,0,0,0,0,0,0.0072629922069609165,0.003412380814552307,-0.1878814995288849
13,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.010900381952524185,0.013575999066233635,0.16659435629844666
13,doubt,40,5,3,12,13,8,4,0,0,0,0,0,0.09223730862140656,0.14785592257976532,6.233569145202637
13,curiosity,40,5,3,10,16,7,4,0,0,0,0,0,0.09126876294612885,0.1486087441444397,6.2083539962768555
13,egogate,40,5,3,12,14,7,4,0,0,0,0,0,0.09214995801448822,0.14819006621837616,6.236618995666504
13,embedding_kcenter,40,5,3,10,10,5,12,0,0,0,0,0,0.02106294594705105,0.015241304412484169,0.6224260330200195
13,egogate_diverse,40,5,3,11,11,6,9,0,0,0,0,0,0.03300650417804718,0.0305166095495224,1.4244678020477295
13,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009108245372772217,0.00897122547030449,2.119276309997531e-08
14,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
14,random,40,5,9,4,9,6,12,0,0,0,0,0,0.0048657930456101894,0.0026577948592603207,-0.2874516546726227
14,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01161627285182476,0.028409864753484726,0.2935856878757477
14,doubt,40,5,3,12,8,9,8,0,0,0,0,0,0.09825367480516434,0.20128336548805237,5.797082424163818
14,curiosity,40,5,3,11,9,9,8,0,0,0,0,0,0.09812323749065399,0.20173057913780212,5.797565460205078
14,egogate,40,5,3,11,9,9,8,0,0,0,0,0,0.09812323749065399,0.20173057913780212,5.797565460205078
14,embedding_kcenter,40,5,4,9,12,6,9,0,0,0,0,0,0.019398722797632217,0.025156760588288307,0.5551745891571045
14,egogate_diverse,40,5,6,11,10,5,8,0,0,0,0,0,0.030548423528671265,0.023399611935019493,0.9659307599067688
14,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009311174973845482,0.011936736293137074,-2.119276309997531e-08
15,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
15,random,40,5,9,9,13,4,5,0,0,0,0,0,0.010198250412940979,0.01128285750746727,0.06744682788848877
15,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.011647979728877544,0.010529938153922558,0.11603518575429916
